0
(0.00231639 28 13 8 , 0.0149546 28 14 8)
(0.0116743 18 25 14 , 0.017616 18 26 15)
(0.0210959 4 7 28 , 0.0245796 5 7 28)
(0.0156901 29 12 6 , 0.0249501 28 12 6)
(0.00765924 8 5 12 , 0.0282463 7 5 11)
(0.0175599 15 6 18 , 0.0297659 15 7 19)
(0.0231431 1 20 4 , 0.0343876 1 20 3)
(0.0338853 21 22 10 , 0.0403745 21 23 10)
(0.0358528 6 2 18 , 0.0421743 5 2 18)
(0.0276381 10 0 5 , 0.042415 9 0 5)
(0.0377929 5 20 25 , 0.0441556 5 19 25)
(0.0305164 8 25 20 , 0.0453465 8 25 21)
(0.0441883 18 11 12 , 0.0459809 17 11 12)
(0.0425821 17 11 11 , 0.0459809 17 11 12)
(0.0114642 5 3 5 , 0.0460206 5 4 5)
(0.0195059 28 11 28 , 0.0468046 28 10 28)
(0.0089623 21 10 2 , 0.0471352 20 11 2)
(0.0310293 11 11 4 , 0.0483413 11 10 4)
(0.0185746 9 1 9 , 0.04865 9 2 9)
(0.0192753 8 14 24 , 0.0487285 7 14 24)
(0.0406377 17 25 29 , 0.0506721 17 26 29)
(0.0099762 28 24 10 , 0.0518665 28 25 10)
(0.0510307 4 1 3 , 0.0520915 4 1 2)
(0.043031 1 25 6 , 0.0524988 1 27 6)
(0.0492786 20 3 4 , 0.0538128 20 3 5)
(0.0527883 11 1 5 , 0.0556277 12 1 5)
(0.0559377 26 25 1 , 0.056254 26 25 0)
(0.0524917 25 28 28 , 0.0567234 26 28 28)
(0.0186129 7 4 17 , 0.0615725 6 4 17)
(0.0462218 2 3 15 , 0.0633824 2 2 15)
(0.0580414 22 23 29 , 0.0643289 23 23 29)
(0.0113185 26 20 11 , 0.0645233 27 20 11)
(0.0254652 13 12 26 , 0.0648975 13 12 25)
(0.0351584 17 12 12 , 0.0653289 16 11 11)
(0.0282918 1 24 29 , 0.0670157 1 24 28)
(0.0678619 27 21 0 , 0.0685607 28 21 0)
(0.0626923 14 14 15 , 0.0692397 14 14 14)
(0.0314633 16 1 25 , 0.0693921 15 2 25)
(0.0641301 5 15 2 , 0.069875 5 15 3)
(0.0408963 10 9 21 , 0.0702131 10 8 21)
(0.0701852 10 19 10 , 0.0705016 10 19 9)
(0.0485157 13 22 10 , 0.0712549 14 22 10)
(0.0287902 4 26 26 , 0.0718723 3 26 26)
(0.0437819 10 1 21 , 0.0727965 11 1 21)
(0.0522167 11 17 26 , 0.0739302 12 17 26)
(0.0362645 12 17 27 , 0.0739302 12 17 26)
(0.0379246 23 8 29 , 0.0741968 23 9 29)
(0.0117082 27 13 13 , 0.0747797 27 12 13)
(0.0446947 4 3 1 , 0.0764238 4 3 0)
(0.00398293 12 19 12 , 0.076552 14 19 12)
(0.0171076 6 11 12 , 0.0774807 7 11 12)
(0.0643474 20 8 6 , 0.0784988 19 9 6)
(0.067843 15 3 23 , 0.0786632 15 4 23)
(0.0236602 10 3 21 , 0.0800581 11 3 21)
(0.0432917 11 4 21 , 0.0800581 11 3 21)
(0.0261867 24 23 22 , 0.0803433 24 22 22)
(0.0769966 2 28 4 , 0.0805101 2 27 4)
(0.0214133 23 21 14 , 0.0808648 23 21 15)
(0.0733503 26 11 0 , 0.0811669 26 11 1)
(0.0472077 3 4 11 , 0.0820023 3 5 11)
(0.0405407 15 27 1 , 0.0821152 15 27 0)
(0.051164 14 16 20 , 0.083581 15 16 20)
(0.0555668 16 21 22 , 0.0842938 15 21 22)
(0.0768374 17 11 1 , 0.0855673 18 11 1)
(0.0820785 10 10 16 , 0.0855885 9 10 16)
(0.0680671 29 10 3 , 0.0861369 29 11 3)
(0.0764341 6 13 19 , 0.0863449 6 13 18)
(0.0864567 14 7 20 , 0.0868914 14 8 20)
(0.0472535 28 19 8 , 0.0877294 28 18 8)
(0.0563433 29 3 5 , 0.0883114 29 4 5)
(0.0389684 28 4 5 , 0.0883114 29 4 5)
(0.0352973 2 2 16 , 0.0887803 1 2 16)
(0.029261 23 11 25 , 0.0891135 23 10 25)
(0.0409496 14 15 17 , 0.0895369 14 14 17)
(0.0210309 28 15 15 , 0.0901989 28 15 16)
(0.056007 28 15 17 , 0.0901989 28 15 16)
(0.0832572 20 23 18 , 0.0906731 20 22 18)
(0.0628884 22 15 27 , 0.091549 21 15 27)
